file	line	function	condition	message	kind	decomp_func	decomp_addr	decomp_line
Register.h	51	gpr_to_num	gpr != Gpr::SP	SP used in unexpected context	assert	FUN_8000000278c4	0x8000000278c4	3247
Register.h	51	gpr_to_num			assert_partial	FUN_8000000278c4	0x8000000278c4	3268
Register.h	56	gpr_to_num_sp			assert_partial	FUN_8000000278c4	0x8000000278c4	3285
Register.h	56	gpr_to_num_sp	gpr != Gpr::XZR	XZR used in unexpected context	assert	FUN_8000000278c4	0x8000000278c4	3286
Register.h	56	gpr_to_num_sp			assert_partial	FUN_800000027cf8	0x800000027cf8	3412
Register.h	56	gpr_to_num_sp	gpr != Gpr::XZR	XZR used in unexpected context	assert	FUN_800000027cf8	0x800000027cf8	3413
Register.h	51	gpr_to_num	gpr != Gpr::SP	SP used in unexpected context	assert	FUN_800000027cf8	0x800000027cf8	3443
Register.h	51	gpr_to_num	gpr != Gpr::SP	SP used in unexpected context	assert	FUN_8000000280d0	0x8000000280d0	3592
Register.h	56	gpr_to_num_sp			assert_partial	FUN_8000000280d0	0x8000000280d0	3621
Register.h	56	gpr_to_num_sp	gpr != Gpr::XZR	XZR used in unexpected context	assert	FUN_8000000280d0	0x8000000280d0	3622
Register.h	51	gpr_to_num	gpr != Gpr::SP	SP used in unexpected context	assert	FUN_80000002821c	0x80000002821c	3659
Register.h	51	gpr_to_num	gpr != Gpr::SP	SP used in unexpected context	assert	FUN_800000028410	0x800000028410	3751
Register.h	51	gpr_to_num	gpr != Gpr::SP	SP used in unexpected context	assert	FUN_8000000284d4	0x8000000284d4	3781
Register.h	51	gpr_to_num	gpr != Gpr::SP	SP used in unexpected context	assert	FUN_80000002861c	0x80000002861c	3846
Register.h	51	gpr_to_num	gpr != Gpr::SP	SP used in unexpected context	assert	FUN_800000028684	0x800000028684	3866
Register.h	51	gpr_to_num	gpr != Gpr::SP	SP used in unexpected context	assert	FUN_8000000286e0	0x8000000286e0	3886
Register.h	51	gpr_to_num	gpr != Gpr::SP	SP used in unexpected context	assert	FUN_800000028738	0x800000028738	3902
Register.h	51	gpr_to_num			assert_partial	FUN_800000028738	0x800000028738	3946
Register.h	56	gpr_to_num_sp			assert_partial	FUN_800000028738	0x800000028738	3974
Register.h	56	gpr_to_num_sp	gpr != Gpr::XZR	XZR used in unexpected context	assert	FUN_800000028738	0x800000028738	3975
AssemblerBase.hpp	1239	ldp_post			assert_partial	FUN_800000028970	0x800000028970	3986
AssemblerBase.hpp	1239	ldp_post	size == MemSize::S64 || size == MemSize::S32	invalid MemSize for LDP	assert	FUN_800000028970	0x800000028970	3987
Register.h	51	gpr_to_num	gpr != Gpr::SP	SP used in unexpected context	assert	FUN_800000028970	0x800000028970	3997
