name	type	va	file_off	size
.note.gnu.build-id	0x7	0x8000000001c8	0x1c8	0x18
.rodata	0x1	0x8000000001e0	0x1e0	0x1d8c8
.eh_frame_hdr	0x1	0x80000001daa8	0x1daa8	0x16ec
.eh_frame	0x1	0x80000001f198	0x1f198	0x66c4
__DATA,runtime_pointers	0x1	0x800000025860	0x25860	0x320
.text	0x1	0x800000026000	0x26000	0x6c2a0
runtime_entry	0x1	0x800000093000	0x93000	0x1718
runtime_savedreg	0x1	0x800000094718	0x94718	0x177c
runtime_br_miss	0x1	0x800000095e94	0x95e94	0x98
runtime_exit_ret	0x1	0x800000095f2c	0x95f2c	0xb4
runtime_exitcall	0x1	0x800000095fe0	0x95fe0	0xb4
runtime_exitljmp	0x1	0x800000096094	0x96094	0xb4
runtime_exit_br	0x1	0x800000096148	0x96148	0xb8
runtime_exit_sys	0x1	0x800000096200	0x96200	0xcc
runtime_exitinst	0x1	0x8000000962cc	0x962cc	0x90
runtime_exitsigr	0x1	0x80000009635c	0x9635c	0x38
runtime_savdnzcv	0x1	0x800000096394	0x96394	0xd0
runtime_sigtramp	0x1	0x800000096464	0x96464	0x50
runtime_syscall	0x1	0x8000000964b8	0x964b8	0xfe0
.data	0x1	0x8000000a0000	0xa0000	0x9fc
.bss	0x8	0x8000000a0a00	0xa09fc	0x1046e0
.init	0x1	0x8000001a50e0	0x1a50e0	0x0
.shstrtab	0x3	0x0	0x1a50e0	0x144
