class	index	name	string_va
8	0	rip	0x8000000060eb
0	0	al	0x80000000d149
0	1	cl	0x80000000487a
0	2	dl	0x80000000b786
0	3	bl	0x800000001593
0	4	spl	0x800000005080
0	5	bpl	0x800000008cfb
0	6	sil	0x800000001b93
0	7	dil	0x800000008cff
0	8	r8b	0x800000009c0d
0	9	r9b	0x80000000a316
0	10	r10b	0x800000003583
0	11	r11b	0x8000000042cd
0	12	r12b	0x8000000060f3
0	13	r13b	0x80000000aa8c
0	14	r14b	0x800000005994
0	15	r15b	0x800000009c11
1	0	ah	0x800000008101
1	1	ch	0x800000006c01
1	2	dh	0x80000000cb5b
1	3	bh	0x800000007a8a
2	0	ax	0x80000000a313
2	1	cx	0x8000000080fe
2	2	dx	0x80000000c2c8
2	3	bx	0x800000007a83
2	4	sp	0x80000000bbc2
2	5	bp	0x800000002ebb
2	6	si	0x80000000d146
2	7	di	0x80000000aa89
2	8	r8w	0x800000007a86
2	9	r9w	0x8000000042c9
2	10	r10w	0x80000000b1a5
2	11	r11w	0x800000003579
2	12	r12w	0x8000000086f7
2	13	r13w	0x80000000357e
2	14	r14w	0x800000001b8e
2	15	r15w	0x80000000507b
3	0	eax	0x800000006bfd
3	1	ecx	0x8000000042c5
3	2	edx	0x800000002987
3	3	ebx	0x80000000228b
3	4	esp	0x800000007a7f
3	5	ebp	0x80000000cb57
3	6	esi	0x80000000298b
3	7	edi	0x8000000060ef
3	8	r8d	0x800000005077
3	9	r9d	0x800000003be5
3	10	r10d	0x80000000c2c3
3	11	r11d	0x80000000598f
3	12	r12d	0x80000000bbbd
3	13	r13d	0x800000003574
3	14	r14d	0x800000002eb6
3	15	r15d	0x80000000d893
4	0	rax	0x80000000c2bb
4	1	rcx	0x80000000c2bf
4	2	rdx	0x800000007a77
4	3	rbx	0x80000000b782
4	4	rsp	0x8000000042c1
4	5	rbp	0x800000007a7b
4	6	rsi	0x8000000080f6
4	7	rdi	0x800000006bf5
4	8	r8	0x800000004877
4	9	r9	0x800000006743
4	10	r10	0x800000008cf7
4	11	r11	0x800000002983
4	12	r12	0x8000000080fa
4	13	r13	0x80000000598b
4	14	r14	0x800000006bf9
4	15	r15	0x80000000d142
5	0	xmm0	0x80000000c2b6
5	1	xmm1	0x80000000d88e
5	2	xmm2	0x80000000356f
5	3	xmm3	0x800000002286
5	4	xmm4	0x80000000bbb8
5	5	xmm5	0x800000001b83
5	6	xmm6	0x800000007a72
5	7	xmm7	0x80000000ded7
5	8	xmm8	0x8000000042bc
5	9	xmm9	0x80000000dedc
5	10	xmm10	0x800000006737
5	11	xmm11	0x800000001b88
5	12	xmm12	0x80000000aa83
5	13	xmm13	0x80000000673d
5	14	xmm14	0x80000000b19f
5	15	xmm15	0x80000000dee1
10	0	ymm0	0x80000000356a
10	1	ymm1	0x80000000d13d
10	2	ymm2	0x80000000e6e5
10	3	ymm3	0x800000005986
10	4	ymm4	0x80000000c2a6
10	5	ymm5	0x80000000158e
10	6	ymm6	0x800000009379
10	7	ymm7	0x80000000b19a
10	8	ymm8	0x80000000937e
10	9	ymm9	0x80000000c2ab
10	10	ymm10	0x8000000042b6
10	11	ymm11	0x800000007a6c
10	12	ymm12	0x80000000c2b0
10	13	ymm13	0x80000000297d
10	14	ymm14	0x80000000bbb2
10	15	ymm15	0x800000005071
6	0	mm0	0x80000000506d
6	1	mm1	0x800000009375
6	2	mm2	0x80000000b77e
6	3	mm3	0x8000000042b2
6	4	mm4	0x80000000ded3
6	5	mm5	0x80000000aa7f
6	6	mm6	0x80000000bbae
6	7	mm7	0x80000000b196
6	8	st0	0x800000003566
6	9	st1	0x800000002979
6	10	st2	0x800000002282
6	11	st3	0x8000000086f3
6	12	st4	0x80000000936d
6	13	st5	0x800000009371
6	14	st6	0x80000000decf
6	15	st7	0x800000002eb2
7	0	st0	0x800000003566
7	1	st1	0x800000002979
7	2	st2	0x800000002282
7	3	st3	0x8000000086f3
7	4	st4	0x80000000936d
7	5	st5	0x800000009371
7	6	st6	0x80000000decf
7	7	st7	0x800000002eb2
