va	nr	name	kind
0x800000026b94	202	accept	raw
0x800000026ba8	202	accept	result
0x800000026bc0	200	bind	raw
0x800000026bd4	200	bind	result
0x800000026bec	220	clone	raw
0x800000026c00	220	clone	result
0x800000026c18	57	close	raw
0x800000026c2c	57	close	result
0x800000026c44	203	connect	raw
0x800000026c58	203	connect	result
0x800000026c70	23	dup	raw
0x800000026c84	23	dup	result
0x800000026c9c	24	dup3	raw
0x800000026cb0	24	dup3	result
0x800000026cc8	21	epoll_ctl	raw
0x800000026cdc	21	epoll_ctl	result
0x800000026cf4	22	epoll_pwait	raw
0x800000026d08	22	epoll_pwait	result
0x800000026d20	221	execve	raw
0x800000026d34	221	execve	result
0x800000026d4c	281	execveat	raw
0x800000026d60	281	execveat	result
0x800000026d78	93	exit	raw
0x800000026d8c	93	exit	result
0x800000026da4	48	faccessat	raw
0x800000026db8	48	faccessat	result
0x800000026dd0	25	fcntl	raw
0x800000026de4	25	fcntl	result
0x800000026dfc	53	fchmodat	raw
0x800000026e10	53	fchmodat	result
0x800000026e28	54	fchownat	raw
0x800000026e3c	54	fchownat	result
0x800000026e54	32	flock	raw
0x800000026e68	32	flock	result
0x800000026e80	80	fstat	raw
0x800000026e94	80	fstat	result
0x800000026eac	46	ftruncate	raw
0x800000026ec0	46	ftruncate	result
0x800000026ed8	98	futex	raw
0x800000026eec	98	futex	result
0x800000026f04	168	getcpu	raw
0x800000026f18	168	getcpu	result
0x800000026f30	61	getdents64	raw
0x800000026f44	61	getdents64	result
0x800000026f5c	278	getrandom	raw
0x800000026f70	278	getrandom	result
0x800000026f88	163	getrlimit	raw
0x800000026f9c	163	getrlimit	result
0x800000026fb4	178	gettid	raw
0x800000026fc8	178	gettid	result
0x800000026fe0	169	gettimeofday	raw
0x800000026ff4	169	gettimeofday	result
0x80000002700c	8	getxattr	raw
0x800000027020	8	getxattr	result
0x800000027038	29	ioctl	raw
0x80000002704c	29	ioctl	result
0x800000027064	1	io_destroy	raw
0x800000027078	1	io_destroy	result
0x800000027090	0	io_setup	raw
0x8000000270a4	0	io_setup	result
0x8000000270bc	129	kill	raw
0x8000000270d0	129	kill	result
0x8000000270e8	201	listen	raw
0x8000000270fc	201	listen	result
0x800000027114	11	listxattr	raw
0x800000027128	11	listxattr	result
0x800000027140	62	lseek	raw
0x800000027154	62	lseek	result
0x80000002716c	233	madvise	raw
0x800000027180	233	madvise	result
0x800000027198	279	memfd_create	raw
0x8000000271ac	279	memfd_create	result
0x8000000271c4	34	mkdirat	raw
0x8000000271d8	34	mkdirat	result
0x8000000271f0	222	mmap	raw
0x800000027204	222	mmap	result
0x80000002721c	226	mprotect	raw
0x800000027230	226	mprotect	result
0x800000027248	216	mremap	raw
0x80000002725c	216	mremap	result
0x800000027274	215	munmap	raw
0x800000027288	215	munmap	result
0x8000000272a0	101	nanosleep	raw
0x8000000272b4	101	nanosleep	result
0x8000000272cc	79	newfstatat	raw
0x8000000272e0	79	newfstatat	result
0x8000000272f8	56	openat	raw
0x80000002730c	56	openat	result
0x800000027324	288	pkey_mprotect	raw
0x800000027338	288	pkey_mprotect	result
0x800000027350	73	ppoll	raw
0x800000027364	73	ppoll	result
0x80000002737c	67	pread64	raw
0x800000027390	67	pread64	result
0x8000000273a8	167	prctl	raw
0x8000000273bc	167	prctl	result
0x8000000273d4	72	pselect6	raw
0x8000000273e8	72	pselect6	result
0x800000027400	117	ptrace	raw
0x800000027414	117	ptrace	result
0x80000002742c	68	pwrite64	raw
0x800000027440	68	pwrite64	result
0x800000027458	63	read	raw
0x80000002746c	63	read	result
0x800000027484	78	readlinkat	raw
0x800000027498	78	readlinkat	result
0x8000000274b0	212	recvmsg	raw
0x8000000274c4	212	recvmsg	result
0x8000000274dc	14	removexattr	raw
0x8000000274f0	14	removexattr	result
0x800000027508	134	rt_sigaction	raw
0x80000002751c	134	rt_sigaction	result
0x800000027534	135	rt_sigprocmask	raw
0x800000027548	135	rt_sigprocmask	result
0x800000027560	240	rt_tgsigqueueinfo	raw
0x800000027574	240	rt_tgsigqueueinfo	result
0x80000002758c	191	mq_getsetattr	raw
0x8000000275a0	191	mq_getsetattr	result
0x8000000275b8	211	sendmsg	raw
0x8000000275cc	211	sendmsg	result
0x8000000275e4	103	setitimer	raw
0x8000000275f8	103	setitimer	result
0x800000027610	208	setsockopt	raw
0x800000027624	208	setsockopt	result
0x80000002763c	5	setxattr	raw
0x800000027650	5	setxattr	result
0x800000027668	196	semctl	raw
0x80000002767c	196	semctl	result
0x800000027694	195	semget	raw
0x8000000276a8	195	semget	result
0x8000000276c0	197	semtimedop	raw
0x8000000276d4	197	semtimedop	result
0x8000000276ec	74	signalfd4	raw
0x800000027700	74	signalfd4	result
0x800000027718	198	socket	raw
0x80000002772c	198	socket	result
0x800000027744	43	statfs	raw
0x800000027758	43	statfs	result
0x800000027770	179	sysinfo	raw
0x800000027784	179	sysinfo	result
0x80000002779c	131	tgkill	raw
0x8000000277b0	131	tgkill	result
0x8000000277c8	160	uname	raw
0x8000000277dc	160	uname	result
0x8000000277f4	35	unlinkat	raw
0x800000027808	35	unlinkat	result
0x800000027820	88	utimensat	raw
0x800000027834	88	utimensat	result
0x80000002784c	260	wait4	raw
0x800000027860	260	wait4	result
0x800000027878	64	write	raw
0x80000002788c	64	write	result
0x8000000949d0	220	clone	result
