addr	name	start_line	end_line	size_lines	emit32_calls	named_from_assert	assert_functions	ret
0x0	entry	5	33	29	0	no		void
0x8000000260ec	FUN_8000000260ec	34	42	9	0	no		undefined1 [16]
0x800000026110	FUN_800000026110	43	53	11	0	no		void
0x80000002611c	FUN_80000002611c	54	64	11	0	no		undefined1 [16]
0x800000026168	FUN_800000026168	65	202	138	0	no		undefined1 [16]
0x800000026204	FUN_800000026204	203	211	9	0	no		void
0x800000026218	FUN_800000026218	212	220	9	0	no		void
0x800000026294	FUN_800000026294	221	234	14	0	no		undefined1 [16]
0x800000026300	FUN_800000026300	235	473	239	0	no		long
0x8000000263a0	FUN_8000000263a0	474	587	114	0	no		long
0x800000026430	FUN_800000026430	588	821	234	0	no		long
0x800000026530	FUN_800000026530	822	937	116	0	no		long
0x8000000265b0	FUN_8000000265b0	938	952	15	0	no		undefined4
0x8000000265c8	FUN_8000000265c8	953	969	17	0	no		undefined4
0x8000000265f0	FUN_8000000265f0	970	1227	258	0	no		long
0x800000026720	FUN_800000026720	1228	1317	90	0	no		void
0x8000000267a0	FUN_8000000267a0	1318	1415	98	0	no		void
0x8000000268b0	FUN_8000000268b0	1416	1437	22	0	no		ulong
0x8000000268f0	FUN_8000000268f0	1438	1680	243	0	no		void
0x800000026b94	FUN_800000026b94	1681	1693	13	0	no		ulong
0x800000026bc0	FUN_800000026bc0	1694	1706	13	0	no		ulong
0x800000026bec	FUN_800000026bec	1707	1719	13	0	no		ulong
0x800000026c00	FUN_800000026c00	1720	1739	20	0	no		undefined1 [16]
0x800000026c18	FUN_800000026c18	1740	1752	13	0	no		ulong
0x800000026c2c	FUN_800000026c2c	1753	1772	20	0	no		undefined1 [16]
0x800000026c44	FUN_800000026c44	1773	1785	13	0	no		ulong
0x800000026cb0	FUN_800000026cb0	1786	1805	20	0	no		undefined1 [16]
0x800000026cdc	FUN_800000026cdc	1806	1825	20	0	no		undefined1 [16]
0x800000026d08	FUN_800000026d08	1826	1845	20	0	no		undefined1 [16]
0x800000026d34	FUN_800000026d34	1846	1865	20	0	no		undefined1 [16]
0x800000026d60	FUN_800000026d60	1866	1885	20	0	no		undefined1 [16]
0x800000026d78	FUN_800000026d78	1886	1898	13	0	no		ulong
0x800000026d8c	FUN_800000026d8c	1899	1918	20	0	no		undefined1 [16]
0x800000026da4	FUN_800000026da4	1919	1931	13	0	no		ulong
0x800000026db8	FUN_800000026db8	1932	1951	20	0	no		undefined1 [16]
0x800000026de4	FUN_800000026de4	1952	1971	20	0	no		undefined1 [16]
0x800000026e10	FUN_800000026e10	1972	1991	20	0	no		undefined1 [16]
0x800000026e3c	FUN_800000026e3c	1992	2011	20	0	no		undefined1 [16]
0x800000026e54	FUN_800000026e54	2012	2024	13	0	no		ulong
0x800000026e94	FUN_800000026e94	2025	2044	20	0	no		undefined1 [16]
0x800000026eac	FUN_800000026eac	2045	2057	13	0	no		ulong
0x800000026eec	FUN_800000026eec	2058	2077	20	0	no		undefined1 [16]
0x800000026f18	FUN_800000026f18	2078	2097	20	0	no		undefined1 [16]
0x800000026f44	FUN_800000026f44	2098	2117	20	0	no		undefined1 [16]
0x800000026f70	FUN_800000026f70	2118	2137	20	0	no		undefined1 [16]
0x800000026f9c	FUN_800000026f9c	2138	2157	20	0	no		undefined1 [16]
0x800000026fb4	FUN_800000026fb4	2158	2170	13	0	no		ulong
0x800000026ff4	FUN_800000026ff4	2171	2190	20	0	no		undefined1 [16]
0x800000027020	FUN_800000027020	2191	2210	20	0	no		undefined1 [16]
0x800000027038	FUN_800000027038	2211	2223	13	0	no		ulong
0x80000002704c	FUN_80000002704c	2224	2243	20	0	no		undefined1 [16]
0x800000027078	FUN_800000027078	2244	2263	20	0	no		undefined1 [16]
0x8000000270a4	FUN_8000000270a4	2264	2283	20	0	no		undefined1 [16]
0x8000000270bc	FUN_8000000270bc	2284	2296	13	0	no		ulong
0x8000000270e8	FUN_8000000270e8	2297	2309	13	0	no		ulong
0x800000027128	FUN_800000027128	2310	2329	20	0	no		undefined1 [16]
0x800000027140	FUN_800000027140	2330	2342	13	0	no		ulong
0x800000027154	FUN_800000027154	2343	2362	20	0	no		undefined1 [16]
0x8000000271ac	FUN_8000000271ac	2363	2382	20	0	no		undefined1 [16]
0x8000000271d8	FUN_8000000271d8	2383	2402	20	0	no		undefined1 [16]
0x800000027204	FUN_800000027204	2403	2422	20	0	no		undefined1 [16]
0x800000027230	FUN_800000027230	2423	2442	20	0	no		undefined1 [16]
0x80000002725c	FUN_80000002725c	2443	2462	20	0	no		undefined1 [16]
0x800000027288	FUN_800000027288	2463	2482	20	0	no		undefined1 [16]
0x8000000272a0	FUN_8000000272a0	2483	2495	13	0	no		ulong
