addr	decomp_func	original_function	original_file	original_line	evidence
0x8000000278c4	FUN_8000000278c4	gpr_to_num	Register.h	51	4 assert site(s)
0x800000027cf8	FUN_800000027cf8	gpr_to_num_sp	Register.h	56	3 assert site(s)
0x8000000280d0	FUN_8000000280d0	gpr_to_num_sp	Register.h	56	3 assert site(s)
0x80000002821c	FUN_80000002821c	gpr_to_num	Register.h	51	1 assert site(s)
0x800000028410	FUN_800000028410	gpr_to_num	Register.h	51	1 assert site(s)
0x8000000284d4	FUN_8000000284d4	gpr_to_num	Register.h	51	1 assert site(s)
0x80000002861c	FUN_80000002861c	gpr_to_num	Register.h	51	1 assert site(s)
0x800000028684	FUN_800000028684	gpr_to_num	Register.h	51	1 assert site(s)
0x8000000286e0	FUN_8000000286e0	gpr_to_num	Register.h	51	1 assert site(s)
0x800000028738	FUN_800000028738	gpr_to_num	Register.h	51	4 assert site(s)
0x800000028970	FUN_800000028970	ldp_post	Register.h	1239	5 assert site(s)
0x800000028c04	FUN_800000028c04	gpr_to_num	Register.h	51	1 assert site(s)
0x800000028c50	FUN_800000028c50	ldr_post	Register.h	1286	5 assert site(s)
0x800000028f70	FUN_800000028f70	gpr_to_num	Register.h	51	1 assert site(s)
0x8000000290c8	FUN_8000000290c8	gpr_to_num_sp	Register.h	56	3 assert site(s)
0x800000029308	FUN_800000029308	gpr_to_num	Register.h	51	1 assert site(s)
0x800000029364	FUN_800000029364	gpr_to_num	Register.h	51	1 assert site(s)
0x8000000293d0	FUN_8000000293d0	gpr_to_num	Register.h	51	1 assert site(s)
0x800000029428	FUN_800000029428	gpr_to_num	AssemblerBase.hpp	51	5 assert site(s)
0x8000000296f8	FUN_8000000296f8	str_pre	Register.h	2092	5 assert site(s)
0x8000000297e4	FUN_8000000297e4	smov_64	AssemblerBase.hpp	2196	3 assert site(s)
0x800000029878	FUN_800000029878	gpr_to_num	Register.h	51	1 assert site(s)
0x8000000298d8	FUN_8000000298d8	gpr_to_num	Register.h	51	1 assert site(s)
0x800000029a00	FUN_800000029a00	ushr_vec	AssemblerBase.hpp	2434	1 assert site(s)
0x800000029a80	FUN_800000029a80	gpr_to_num	Register.h	51	1 assert site(s)
0x800000029ad0	FUN_800000029ad0	repatch_branch_26	Repatch.cpp	33	2 assert site(s)
0x800000029ba8	FUN_800000029ba8	effects_for_instruction	Decoder.cpp	918	7 assert site(s)
0x80000002a500	FUN_80000002a500	fixup_absolute	Fixup.cpp	74	1 assert site(s)
0x80000002a6bc	FUN_80000002a6bc	is_bitmask_immediate	AssemblerHelpers.cpp	171	1 assert site(s)
0x80000002ac58	FUN_80000002ac58	condition_code_to_string	Operand.cpp	44	4 assert site(s)
0x80000002bf60	FUN_80000002bf60	create_fake_cpuinfo_file	ThreadContextFcntl.cpp	333	18 assert site(s)
0x80000002c750	FUN_80000002c750	create_tempfile	ThreadContextFcntl.cpp	85	4 assert site(s)
0x80000002c824	FUN_80000002c824	was_rosetta_process_invoked_directly	ThreadContextFcntl.cpp	142	1 assert site(s)
0x80000002cc20	FUN_80000002cc20	fcntl	ThreadContextFcntl.cpp	463	2 assert site(s)
0x80000002cce4	FUN_80000002cce4	find_parent_for_insertion_no_duplicates	RedBlackTree.h	214	1 assert site(s)
0x80000002d140	FUN_80000002d140	find_parent_for_insertion_no_duplicates	RedBlackTree.h	214	1 assert site(s)
0x80000002d50c	FUN_80000002d50c	operator()	TranslationCacheAot.cpp	176	1 assert site(s)
0x80000002d5ec	FUN_80000002d5ec	operator()	TranslationCacheAot.cpp	244	1 assert site(s)
0x80000002db70	FUN_80000002db70	is_thread_alive	Thread.cpp	18	2 assert site(s)
0x80000002dbf8	FUN_80000002dbf8	suspend_all_threads	Thread.cpp	50	4 assert site(s)
0x80000002df8c	FUN_80000002df8c	register_thread_context	Thread.cpp	28	3 assert site(s)
0x80000002e360	FUN_80000002e360	request_suspend_no_signal	ThreadContext.cpp	218	2 assert site(s)
0x80000002e428	FUN_80000002e428	resume	ThreadContext.cpp	312	2 assert site(s)
0x80000002e700	FUN_80000002e700	handle_jit_breakpoint	TranslationCacheJit.cpp	189	7 assert site(s)
0x80000002edb8	FUN_80000002edb8	translate_sigtrap	ThreadContextRuntimeSignals.cpp	371	4 assert site(s)
0x80000002f0f0	FUN_80000002f0f0	remap	ThreadContextRuntimeSignals.cpp	705	16 assert site(s)
0x80000003007c	FUN_80000003007c	remove_shared_mem	VMAllocationTracker.cpp	735	4 assert site(s)
0x800000030314	FUN_800000030314	io_setup	ThreadContextVm.cpp	392	2 assert site(s)
0x8000000303ec	FUN_8000000303ec	calculate_slab_allocator_size	Vdso.cpp	284	16 assert site(s)
0x800000031e04	FUN_800000031e04	initialize_function_table_entry	Vdso.cpp	84	1 assert site(s)
0x800000032040	FUN_800000032040	before_clone_thread	ThreadContextSyscalls.cpp	91	1 assert site(s)
0x8000000321b0	FUN_8000000321b0	clone_process	ThreadContextSyscalls.cpp	179	2 assert site(s)
0x800000032984	FUN_800000032984	alarm	ThreadContextSyscalls.cpp	467	2 assert site(s)
0x8000000331fc	FUN_8000000331fc	is_valid_x86_thread	Thread.cpp	159	2 assert site(s)
0x800000033814	FUN_800000033814	translate_indirect_branch	ThreadContext.cpp	223	2 assert site(s)
0x800000033860	FUN_800000033860	branch_slot_miss	ThreadContext.cpp	232	2 assert site(s)
0x800000033920	FUN_800000033920	iterate_fragments_in_x86_interval_holding_lock	TranslationCacheJit.cpp	125	2 assert site(s)
0x800000033a68	FUN_800000033a68	request_evict	ThreadContext.cpp	275	2 assert site(s)
0x800000033e60	FUN_800000033e60	remove_aot_fragments	TranslationCacheAot.cpp	199	5 assert site(s)
0x80000003498c	FUN_80000003498c	set_pointer	TaggedPointer.h	33	2 assert site(s)
0x8000000349d8	FUN_8000000349d8	remove_arm_tree_only_translation	TranslationCacheJit.cpp	458	6 assert site(s)
0x800000034b64	FUN_800000034b64	operator()	TranslationCacheJit.cpp	506	2 assert site(s)
0x800000034da8	FUN_800000034da8	apply_fixups	RuntimeLibraryBridgeInternal.cpp	169	31 assert site(s)
0x800000037be4	FUN_800000037be4	find_translation_in_tree_x86	TranslationCache.cpp	311	2 assert site(s)
0x8000000386fc	FUN_8000000386fc	finish_block	BuilderBase.h	670	2 assert site(s)
0x80000003880c	FUN_80000003880c	block_for_offset	BuilderBase.h	550	2 assert site(s)
0x800000038b38	FUN_800000038b38	branch_target_from_operand	IrBuilder_x86.h	104	2 assert site(s)
0x800000039528	FUN_800000039528	translate_loop	Translator.cpp	1682	30 assert site(s)
0x80000003bcf0	FUN_80000003bcf0	move_vector	TransactionalList.h	27	2 assert site(s)
0x80000003be94	FUN_80000003be94	add_internal_fixup	Repatch.cpp	494	7 assert site(s)
0x80000003c1a4	FUN_80000003c1a4	rollback	TranslatorBase.hpp	90	4 assert site(s)
0x80000003c87c	FUN_80000003c87c	allocate	ExecutableHeap.cpp	119	2 assert site(s)
0x80000003c9b8	FUN_80000003c9b8	allocate_from_node	BestFitAllocator.h	247	5 assert site(s)
0x80000003d514	FUN_80000003d514	runtime_routines_for_address	ExecutableHeap.cpp	150	2 assert site(s)
0x80000003d648	FUN_80000003d648	abi_info_for_runtime_routines_address	TranslationCacheAbi.cpp	105	2 assert site(s)
0x80000003e06c	FUN_80000003e06c	operator()	TranslationCacheJit.cpp	104	2 assert site(s)
0x80000003e37c	FUN_80000003e37c	process_jcxz	BranchTargetFinder.cpp	135	9 assert site(s)
0x80000004077c	FUN_80000004077c	set_nzcv	ThreadState.h	55	2 assert site(s)
0x8000000407cc	FUN_8000000407cc	guest_gpr_state_from_host_state	ThreadContextRegisterState.cpp	259	18 assert site(s)
0x800000040f24	FUN_800000040f24	determine_loop_properties	StateRecovery.cpp	157	35 assert site(s)
0x800000041e4c	FUN_800000041e4c	host_gpr_state_from_guest_state	ThreadContextRegisterState.cpp	938	13 assert site(s)
0x8000000423f8	FUN_8000000423f8	rt_sigprocmask	ThreadContextSignals.cpp	287	2 assert site(s)
0x8000000427c0	FUN_8000000427c0	rt_sigreturn	ThreadContextSignals.cpp	370	2 assert site(s)
0x800000042a20	FUN_800000042a20	deliver_signal	ThreadContextSignals.cpp	452	7 assert site(s)
0x800000042f44	FUN_800000042f44	sa_sigaction_handler	ThreadContextSignals.cpp	784	5 assert site(s)
0x80000004336c	FUN_80000004336c	get_arm_gpr_state	PacketHandlers.cpp	216	2 assert site(s)
0x8000000433fc	FUN_8000000433fc	get_arm_fpr_state	PacketHandlers.cpp	233	2 assert site(s)
0x800000043528	FUN_800000043528	convert_arm_neon_state64_to_user_fpsimd	PacketHandlers.cpp	196	2 assert site(s)
